Date,Price,Open,High,Low,Vol.,Change %
01-04-2022,"2,533.15","2,393.12","2,592.98","2,289.44",136.21M,5.90%
01-03-2022,"2,391.98","2,119.35","2,440.32","1,979.13",145.03M,11.66%
01-02-2022,"2,142.14","2,186.12","2,230.06","2,036.33",115.88M,-1.13%
01-01-2022,"2,166.70","2,147.09","2,330.75","2,092.61",126.71M,0.78%
01-12-2021,"2,149.95","2,208.82","2,268.29","2,040.05",132.18M,-1.55%
01-11-2021,"2,183.76","2,302.56","2,362.43","2,096.25",148.25M,-5.16%
01-10-2021,"2,302.56","2,271.42","2,497.84","2,265.11",107.89M,0.68%
01-09-2021,"2,287.12","2,063.56","2,333.20","2,047.22",151.83M,11.56%
01-08-2021,"2,050.08","1,865.01","2,073.32","1,853.08",130.18M,10.95%
01-07-2021,"1,847.77","1,922.85","1,955.12","1,830.47",99.41M,-3.57%
01-06-2021,"1,916.17","1,966.42","2,065.29","1,889.25",232.39M,-2.30%
01-05-2021,"1,961.25","1,784.85","1,989.75","1,730.38",172.77M,8.31%
01-04-2021,"1,810.72","1,832.06","1,858.30","1,703.78",150.99M,-0.43%
01-03-2021,"1,818.53","1,915.76","2,026.25","1,791.84",194.13M,-3.96%
01-02-2021,"1,893.61","1,688.07","1,953.71","1,677.72",241.13M,13.24%
01-01-2021,"1,672.23","1,804.82","1,924.66","1,661.38",300.05M,-7.22%
01-12-2020,"1,802.37","1,761.56","1,850.22","1,684.31",232.77M,2.88%
01-11-2020,"1,751.99","1,840.23","1,901.96","1,666.01",432.23M,-6.07%
01-10-2020,"1,865.20","2,055.21","2,096.25","1,807.55",259.83M,-8.05%
01-09-2020,"2,028.47","1,906.50","2,151.04","1,855.89",378.77M,7.38%
01-08-2020,"1,888.98","1,862.29","1,993.66","1,815.94",383.27M,0.66%
01-07-2020,"1,876.64","1,561.52","1,996.20","1,550.67",616.55M,21.30%
01-06-2020,"1,547.08","1,343.63","1,637.96","1,339.95",397.69M,16.37%
01-05-2020,"1,329.47","1,295.04","1,452.42","1,264.65",463.92M,0.84%
01-04-2020,"1,318.42","1,009.28","1,344.46",939.98,478.25M,31.63%
01-03-2020,"1,001.63","1,218.69","1,231.19",787.5,459.29M,-16.17%
01-02-2020,"1,194.90","1,263.83","1,356.20","1,191.62",185.52M,-5.88%
01-01-2020,"1,269.55","1,365.19","1,447.03","1,265.54",201.73M,-6.76%
01-12-2019,"1,361.64","1,438.93","1,454.72","1,356.24",173.09M,-2.39%
01-11-2019,"1,395.00","1,308.53","1,424.68","1,279.35",168.62M,5.93%
01-10-2019,"1,316.94","1,202.41","1,339.69","1,152.32",165.83M,9.92%
01-09-2019,"1,198.14","1,117.20","1,201.29","1,054.60",183.24M,6.70%
01-08-2019,"1,122.86","1,046.29","1,173.14",985.04,241.37M,7.06%
01-07-2019,"1,048.85","1,131.41","1,169.13","1,045.39",159.48M,-6.93%
01-06-2019,"1,126.96","1,200.61","1,235.91","1,122.95",134.54M,-5.79%
01-05-2019,"1,196.25","1,251.87","1,274.81","1,103.93",247.53M,-4.50%
01-04-2019,"1,252.59","1,232.09","1,270.22","1,188.02",168.53M,2.17%
01-03-2019,"1,226.02","1,112.48","1,248.28","1,095.93",188.46M,10.74%
01-02-2019,"1,107.13","1,109.78","1,188.20","1,084.60",176.07M,0.32%
01-01-2019,"1,103.62","1,011.98","1,137.39",972.27,215.78M,9.44%
01-12-2018,"1,008.38","1,056.63","1,056.63",948.8,154.18M,-3.97%
01-11-2018,"1,050.02",960.4,"1,066.61",944.3,165.23M,10.02%
01-10-2018,954.42,"1,131.09","1,131.09",914.08,278.10M,-15.64%
01-09-2018,"1,131.32","1,119.67","1,152.36","1,064.36",181.64M,1.31%
01-08-2018,"1,116.66","1,070.57","1,195.22","1,048.58",150.21M,4.69%
01-07-2018,"1,066.61",874.47,"1,070.57",860.66,201.17M,21.96%
01-06-2018,874.56,827.39,931.71,825.99,163.11M,5.55%
01-05-2018,828.6,869.66,899.33,815.34,128.11M,-4.36%
01-04-2018,866.33,803.11,909.23,796.14,127.09M,9.13%
01-03-2018,793.84,854.14,863.27,791.41,134.07M,-7.53%
